"","tdcn","periodo"
"2002-01-01",1.4,"2002-01-01"
"2002-02-01",2.15,"2002-02-01"
"2002-03-01",2.95,"2002-03-01"
"2002-04-01",2.95,"2002-04-01"
"2002-05-01",3.6,"2002-05-01"
"2002-06-01",3.8,"2002-06-01"
"2002-07-01",3.68,"2002-07-01"
"2002-08-01",3.62,"2002-08-01"
"2002-09-01",3.75,"2002-09-01"
"2002-10-01",3.55,"2002-10-01"
"2002-11-01",3.57,"2002-11-01"
"2002-12-01",3.363,"2002-12-01"
"2003-01-01",3.24,"2003-01-01"
"2003-02-01",3.1817,"2003-02-01"
"2003-03-01",2.871,"2003-03-01"
"2003-04-01",2.8547,"2003-04-01"
"2003-05-01",2.8825,"2003-05-01"
"2003-06-01",2.794,"2003-06-01"
"2003-07-01",2.8797,"2003-07-01"
"2003-08-01",2.972,"2003-08-01"
"2003-09-01",2.9055,"2003-09-01"
"2003-10-01",2.8632,"2003-10-01"
"2003-11-01",2.977,"2003-11-01"
"2003-12-01",2.9345,"2003-12-01"
"2004-01-01",2.9428,"2004-01-01"
"2004-02-01",2.9243,"2004-02-01"
"2004-03-01",2.855,"2004-03-01"
"2004-04-01",2.8452,"2004-04-01"
"2004-05-01",2.9642,"2004-05-01"
"2004-06-01",2.9607,"2004-06-01"
"2004-07-01",2.976,"2004-07-01"
"2004-08-01",3.0003,"2004-08-01"
"2004-09-01",2.9825,"2004-09-01"
"2004-10-01",2.9782,"2004-10-01"
"2004-11-01",2.951,"2004-11-01"
"2004-12-01",2.9738,"2004-12-01"
"2005-01-01",2.9253,"2005-01-01"
"2005-02-01",2.9327,"2005-02-01"
"2005-03-01",2.9233,"2005-03-01"
"2005-04-01",2.9133,"2005-04-01"
"2005-05-01",2.8877,"2005-05-01"
"2005-06-01",2.8908,"2005-06-01"
"2005-07-01",2.8628,"2005-07-01"
"2005-08-01",2.9117,"2005-08-01"
"2005-09-01",2.9125,"2005-09-01"
"2005-10-01",3.0097,"2005-10-01"
"2005-11-01",2.9735,"2005-11-01"
"2005-12-01",3.0315,"2005-12-01"
"2006-01-01",3.0637,"2006-01-01"
"2006-02-01",3.0728,"2006-02-01"
"2006-03-01",3.0808,"2006-03-01"
"2006-04-01",3.0438,"2006-04-01"
"2006-05-01",3.0868,"2006-05-01"
"2006-06-01",3.0848,"2006-06-01"
"2006-07-01",3.0748,"2006-07-01"
"2006-08-01",3.0972,"2006-08-01"
"2006-09-01",3.1043,"2006-09-01"
"2006-10-01",3.0933,"2006-10-01"
"2006-11-01",3.0693,"2006-11-01"
"2006-12-01",3.0695,"2006-12-01"
"2007-01-01",3.1063,"2007-01-01"
"2007-02-01",3.101,"2007-02-01"
"2007-03-01",3.1007,"2007-03-01"
"2007-04-01",3.0898,"2007-04-01"
"2007-05-01",3.0785,"2007-05-01"
"2007-06-01",3.0908,"2007-06-01"
"2007-07-01",3.1195,"2007-07-01"
"2007-08-01",3.1558,"2007-08-01"
"2007-09-01",3.1495,"2007-09-01"
"2007-10-01",3.1477,"2007-10-01"
"2007-11-01",3.1442,"2007-11-01"
"2007-12-01",3.151,"2007-12-01"
"2008-01-01",3.1557,"2008-01-01"
"2008-02-01",3.1587,"2008-02-01"
"2008-03-01",3.1653,"2008-03-01"
"2008-04-01",3.1635,"2008-04-01"
"2008-05-01",3.0978,"2008-05-01"
"2008-06-01",3.0242,"2008-06-01"
"2008-07-01",3.0305,"2008-07-01"
"2008-08-01",3.0288,"2008-08-01"
"2008-09-01",3.1302,"2008-09-01"
"2008-10-01",3.379,"2008-10-01"
"2008-11-01",3.369,"2008-11-01"
"2008-12-01",3.4537,"2008-12-01"
"2009-01-01",3.4875,"2009-01-01"
"2009-02-01",3.5595,"2009-02-01"
"2009-03-01",3.7135,"2009-03-01"
"2009-04-01",3.7198,"2009-04-01"
"2009-05-01",3.7465,"2009-05-01"
"2009-06-01",3.7952,"2009-06-01"
"2009-07-01",3.8305,"2009-07-01"
"2009-08-01",3.8525,"2009-08-01"
"2009-09-01",3.8427,"2009-09-01"
"2009-10-01",3.819,"2009-10-01"
"2009-11-01",3.8102,"2009-11-01"
"2009-12-01",3.7967,"2009-12-01"
"2010-01-01",3.823,"2010-01-01"
"2010-02-01",3.8598,"2010-02-01"
